rev,n,total,mean,sd
7c8a09099,87,98,1.13,0.98
fd4f74ef9,122,168,1.38,1.1
aa14d89c7,112,159,1.42,1.12
811084d74,115,165,1.43,1.12
cce58ffd6,129,188,1.46,1.07
3a32d2642,129,188,1.46,1.07
c83a0428f,130,201,1.55,1.28
40180c4b2,129,200,1.55,1.28
5e0ff5f96,129,200,1.55,1.28
81537c3e5,129,200,1.55,1.28
f04c38ed6,141,239,1.7,1.35
e53f0dc4b,143,242,1.69,1.34
8ad8bd193,165,285,1.73,1.3
5e65f2f62,180,315,1.75,1.26
97cd8e179,183,322,1.76,1.26
5971411e8,207,364,1.76,1.24
ea08c0020,219,403,1.84,1.27
d8f785165,227,420,1.85,1.25
4a8651412,227,420,1.85,1.25
a4b8bebe1,232,619,2.67,1.47
2f0ff6e97,232,619,2.67,1.47
c52a2b9ab,235,627,2.67,1.46
00084f550,251,662,2.64,1.43
e0e495406,240,634,2.64,1.46
de4a7b972,240,634,2.64,1.46
5ac87e0d0,242,640,2.64,1.45
9fca81213,252,683,2.71,1.47
de6069e55,276,759,2.75,1.44
94ed00740,309,817,2.64,1.36
af7dd8e0a,324,845,2.61,1.34
9e52130fb,310,803,2.59,1.37
b63cda6e8,336,875,2.6,1.36
49f0c952b,307,769,2.5,1.36
b717db00f,316,796,2.52,1.35
8b0be68ee,291,737,2.53,1.41
a7afc064b,291,737,2.53,1.41
94d2317b4,345,874,2.53,1.36
8b200c5e7,369,939,2.54,1.37
25d199abe,364,915,2.51,1.36
909cacceb,366,919,2.51,1.37
691e05365,370,934,2.52,1.37
d218158d2,365,924,2.53,1.38
97dac74c4,366,924,2.52,1.39
c6db7f73b,366,923,2.52,1.39
1d4923729,378,958,2.53,1.37
d8c24cfa7,384,974,2.54,1.37
f514662ca,391,997,2.55,1.37
f3a2dc252,391,997,2.55,1.37
6144212a8,391,997,2.55,1.37
e0a305350,406,1051,2.59,1.4
cafa7b284,418,1086,2.6,1.39
edaf08fcf,430,1123,2.61,1.38
442ab71fc,449,1167,2.6,1.37
5de282137,464,1216,2.62,1.38
1d437dc9a,436,1072,2.46,1.24
43645a658,446,1098,2.46,1.23
9c25538e1,437,1071,2.45,1.24
bc5dfd535,362,865,2.39,1.25
9bfa45bd2,362,865,2.39,1.25
a5195102d,389,948,2.44,1.23
a87ec42f2,366,882,2.41,1.21
d5eff3b0e,379,913,2.41,1.2
6fec6507e,384,919,2.39,1.2
7b9ae9205,384,919,2.39,1.2
c3ab541e0,384,919,2.39,1.2
95084bedb,384,919,2.39,1.2
3410ecadd,384,919,2.39,1.2
12bee76ff,397,940,2.37,1.2
f9e1bc9c9,389,924,2.38,1.21
56e1c126c,404,955,2.36,1.19
eedca6f64,406,959,2.36,1.19
cb6da8e92,418,1006,2.41,1.24
6434c3764,426,1026,2.41,1.24
224bdd888,423,1013,2.39,1.23
78add2dc6,440,1064,2.42,1.22
e7eed5874,459,1106,2.41,1.21
aa6279c41,472,1138,2.41,1.2
df9dc8933,472,1138,2.41,1.2
48c7bbd98,473,1139,2.41,1.2
2533fa8d3,471,1133,2.41,1.2
701d128fd,474,1138,2.4,1.2
c87ffc0be,501,1219,2.43,1.22
e36b38c1c,507,1227,2.42,1.23
cbba5ef9c,547,1348,2.46,1.26
6301086c3,537,1316,2.45,1.25
cb1ef03df,537,1316,2.45,1.25
94011e98a,536,1307,2.44,1.25
bb844a03b,536,1307,2.44,1.25
eec431297,543,1318,2.43,1.24
441cc5c82,552,1350,2.45,1.25
d8ade83eb,546,1334,2.44,1.26
ddc44b7ad,555,1366,2.46,1.26
0b3758817,552,1350,2.45,1.25
c6ccc1909,555,1366,2.46,1.26
29c1e1deb,548,1355,2.47,1.26
38a297d50,542,1342,2.48,1.27
b4b21486a,543,1291,2.38,1.19
5a32fdb8e,549,1310,2.39,1.19
0907a49ab,556,1333,2.4,1.19
21dccad47,583,1424,2.44,1.19
b7548b203,582,1423,2.45,1.19
9a210114e,574,1409,2.45,1.2
26c82cea7,566,1382,2.44,1.2
2a5fe4c2b,568,1385,2.44,1.2
3d0cf47d2,573,1404,2.45,1.2
6b51e037c,573,1404,2.45,1.2
c978f789c,580,1411,2.43,1.19
13980e653,581,1414,2.43,1.19
5d153c9db,582,1418,2.44,1.19
79f01b242,582,1418,2.44,1.19
2517a1187,593,1439,2.43,1.18
a68205975,596,1444,2.42,1.18
90294ead4,613,1524,2.49,1.25
bd23aa271,622,1574,2.53,1.31
b59cb4ae0,622,1574,2.53,1.31
2da35fcae,622,1574,2.53,1.31
1ed304fa8,654,1625,2.48,1.28
b354db22a,654,1625,2.48,1.28
648d6e190,685,1720,2.51,1.27
975ad92e6,688,1729,2.51,1.27
469e68542,688,1729,2.51,1.27
a1ef4c439,694,1750,2.52,1.27
915a3e88a,705,1791,2.54,1.29
2e1b3aab9,703,1790,2.55,1.28
350d73636,703,1790,2.55,1.28
a9325e2ec,717,1850,2.58,1.32
e7d7809eb,711,1830,2.57,1.31
309dea5b4,725,1867,2.58,1.3
393cdbc74,720,1854,2.58,1.3
e452e3374,720,1854,2.58,1.3
4ef197b7d,722,1863,2.58,1.3
4602e768f,722,1863,2.58,1.3
a1cd77db6,722,1863,2.58,1.3
737dac4f0,722,1863,2.58,1.3
73378c929,729,1878,2.58,1.3
1843f8716,796,2063,2.59,1.29
72196da82,796,2063,2.59,1.29
b1768b5a4,786,2060,2.62,1.28
6f8fec4b8,786,2060,2.62,1.28
f69748601,786,2060,2.62,1.28
9145f40eb,786,2060,2.62,1.28
c22b94f14,786,2060,2.62,1.28
9c7a312d7,828,2212,2.67,1.31
5f99a4822,828,2212,2.67,1.31
a5d659d07,829,2214,2.67,1.31
262b9c72f,829,2214,2.67,1.31
80fffbe0d,830,2204,2.66,1.28
a37012a6b,842,2221,2.64,1.29
a0af1e131,730,1887,2.58,1.32
5a32e89b3,740,1909,2.58,1.31
f9af9aacd,758,1945,2.57,1.29
ce7c01429,756,1941,2.57,1.29
3b5e3b5a2,756,1941,2.57,1.29
71f591501,767,1986,2.59,1.3
d94765491,771,1999,2.59,1.3
a130757cd,763,1970,2.58,1.3
65b9ad94a,765,1970,2.58,1.3
c55ffb37f,765,1970,2.58,1.3
b5ac963fb,768,1981,2.58,1.3
d63249d03,766,1981,2.59,1.29
